"날짜","종가","시가","고가","저가","거래량","변동 %"
"2018- 06- 04","2,297.02","2,298.54","2,316.10","2,291.67","20.77M","0.15%"
"2018- 06- 01","2,293.67","2,264.14","2,298.92","2,254.92","27.56M","0.50%"
"2018- 05- 31","2,282.37","2,296.41","2,299.72","2,274.43","78.82M","-0.14%"
"2018- 05- 30","2,285.57","2,315.77","2,318.71","2,268.60","32.61M","-1.49%"
"2018- 05- 29","2,320.22","2,327.10","2,335.20","2,310.24","19.48M","0.07%"
"2018- 05- 28","2,318.62","2,325.73","2,327.27","2,303.34","18.16M","-0.61%"
"2018- 05- 25","2,332.86","2,306.70","2,344.98","2,306.18","25.20M","0.85%"
"2018- 05- 24","2,313.17","2,319.39","2,323.65","2,306.12","16.04M","-0.24%"
"2018- 05- 23","2,318.77","2,283.58","2,324.05","2,281.41","34.40M","2.70%"
"2018- 05- 21","2,257.72","2,246.48","2,260.53","2,230.32","16.56M","0.82%"
"2018- 05- 18","2,239.26","2,252.60","2,254.61","2,225.09","13.65M","-0.05%"
"2018- 05- 17","2,240.42","2,265.05","2,269.68","2,238.48","18.25M","-0.37%"
"2018- 05- 16","2,248.80","2,225.33","2,254.00","2,225.33","23.55M","0.93%"
"2018- 05- 15","2,228.04","2,248.18","2,250.03","2,220.41","26.37M","-0.80%"
"2018- 05- 14","2,246.08","2,254.13","2,260.96","2,232.08","23.28M","-0.31%"
"2018- 05- 11","2,253.15","2,260.23","2,265.17","2,243.93","18.22M","0.15%"
"2018- 05- 10","2,249.77","2,239.22","2,256.71","2,237.85","24.45M","1.34%"
"2018- 05- 09","2,220.11","2,216.58","2,228.43","2,201.37","25.61M","0.39%"
"2018- 05- 08","2,211.50","2,231.85","2,246.42","2,204.50","34.63M","0.02%"
"2018- 05- 04","2,210.95","2,252.84","2,257.16","2,210.95","50.47M","-1.88%"
"2018- 05- 03","2,253.38","2,268.68","2,272.48","2,252.50","9.79M","-0.41%"
"2018- 05- 02","2,262.60","2,275.42","2,281.77","2,250.23","12.49M","-0.29%"
"2018- 04- 30","2,269.11","2,278.24","2,282.76","2,258.87","11.66M","-0.52%"
"2018- 04- 27","2,280.99","2,298.80","2,305.54","2,270.11","13.26M","0.90%"
"2018- 04- 26","2,260.75","2,243.06","2,273.99","2,238.88","17.17M","1.49%"
"2018- 04- 25","2,227.49","2,214.71","2,239.04","2,203.77","11.71M","-0.14%"
"2018- 04- 24","2,230.69","2,257.35","2,257.71","2,223.61","13.21M","-1.73%"
"2018- 04- 23","2,270.05","2,272.86","2,284.60","2,260.46","9.61M","-0.42%"
"2018- 04- 20","2,279.53","2,297.99","2,299.37","2,274.59","11.27M","-1.54%"
"2018- 04- 19","2,315.09","2,307.55","2,319.39","2,292.83","12.59M","0.52%"
"2018- 04- 18","2,303.00","2,301.81","2,314.18","2,295.67","10.04M","1.07%"
"2018- 04- 17","2,278.53","2,279.76","2,293.97","2,269.01","9.72M","0.01%"
"2018- 04- 16","2,278.41","2,296.83","2,296.94","2,270.86","7.97M","-0.46%"
"2018- 04- 13","2,288.89","2,299.69","2,306.06","2,283.17","9.38M","0.55%"
"2018- 04- 12","2,276.44","2,259.35","2,289.84","2,253.05","14.79M","1.04%"
"2018- 04- 11","2,253.09","2,277.68","2,279.48","2,249.70","8.68M","-0.26%"
"2018- 04- 10","2,258.98","2,262.03","2,269.18","2,233.24","10.10M","-0.55%"
"2018- 04- 09","2,271.57","2,254.46","2,276.11","2,252.75","9.10M","0.52%"
"2018- 04- 06","2,259.91","2,254.27","2,268.31","2,242.33","11.62M","-0.91%"
"2018- 04- 05","2,280.77","2,270.60","2,291.77","2,257.70","9.02M","1.96%"
"2018- 04- 04","2,237.00","2,314.59","2,314.59","2,233.28","12.13M","-3.16%"
"2018- 04- 03","2,310.06","2,289.37","2,310.23","2,274.57","9.36M","-0.19%"
"2018- 04- 02","2,314.56","2,329.14","2,336.89","2,309.76","8.98M","-0.10%"
"2018- 03- 30","2,316.83","2,321.21","2,344.50","2,316.80","10.60M","1.01%"
"2018- 03- 29","2,293.64","2,292.14","2,299.44","2,277.31","9.68M","0.26%"
"2018- 03- 28","2,287.58","2,292.99","2,307.59","2,280.60","11.57M","-1.62%"
"2018- 03- 27","2,325.27","2,358.45","2,359.24","2,314.42","16.82M","-0.42%"
"2018- 03- 26","2,335.01","2,304.21","2,335.01","2,287.33","13.44M","1.23%"
"2018- 03- 23","2,306.53","2,346.63","2,354.37","2,301.60","16.72M","-4.25%"
"2018- 03- 22","2,408.98","2,407.08","2,419.89","2,396.63","10.15M","0.46%"
"2018- 03- 21","2,398.00","2,411.81","2,417.89","2,396.02","8.25M","-0.42%"
"2018- 03- 20","2,408.13","2,368.34","2,408.26","2,368.17","9.68M","0.59%"
"2018- 03- 19","2,394.02","2,419.77","2,427.89","2,392.32","10.00M","-1.04%"
"2018- 03- 16","2,419.28","2,418.82","2,420.32","2,386.45","12.04M","-0.07%"
"2018- 03- 15","2,420.97","2,418.74","2,427.38","2,394.11","10.23M","0.11%"
"2018- 03- 14","2,418.42","2,406.93","2,420.05","2,399.40","13.03M","-0.15%"
"2018- 03- 13","2,421.99","2,382.28","2,421.99","2,381.52","16.35M","2.64%"
"2018- 03- 12","2,359.59","2,371.36","2,373.32","2,352.63","10.57M","1.21%"
"2018- 03- 09","2,331.27","2,319.13","2,348.78","2,311.76","13.93M","1.40%"
"2018- 03- 08","2,299.10","2,294.02","2,299.10","2,267.55","12.94M","1.25%"
"2018- 03- 07","2,270.61","2,280.38","2,299.12","2,262.19","14.04M","0.17%"
"2018- 03- 06","2,266.71","2,225.89","2,267.13","2,218.84","16.30M","3.43%"
"2018- 03- 05","2,191.46","2,205.93","2,212.99","2,188.74","9.09M","-0.56%"
"2018- 03- 02","2,203.88","2,192.48","2,212.70","2,183.65","9.49M","-0.64%"
"2018- 02- 28","2,217.97","2,257.53","2,271.19","2,216.36","11.09M","-1.85%"
"2018- 02- 27","2,259.68","2,274.66","2,279.38","2,259.68","9.81M","0.22%"
"2018- 02- 26","2,254.82","2,284.48","2,285.59","2,244.93","7.74M","-0.53%"
"2018- 02- 23","2,266.80","2,242.93","2,266.90","2,242.93","8.65M","1.50%"
"2018- 02- 22","2,233.23","2,235.89","2,250.06","2,225.30","7.22M","-0.63%"
"2018- 02- 21","2,247.29","2,231.65","2,250.65","2,218.10","8.92M","1.06%"
