"날짜","종가","시가","고가","저가","거래량","변동 %"
"2013- 10- 15","435.71","433.51","438.38","433.25","5.65K","1.05%"
"2013- 10- 14","431.19","435.78","435.78","428.07","5.24K","-1.29%"
"2013- 10- 11","436.82","432.45","437.45","430.72","4.36K","2.32%"
"2013- 10- 10","426.90","431.31","432.54","425.70","3.61K","-1.35%"
"2013- 10- 08","432.73","426.71","432.87","422.76","4.80K","1.27%"
"2013- 10- 07","427.32","427.18","430.15","424.48","3.24K","-0.04%"
"2013- 10- 04","427.51","427.56","428.69","419.86","4.74K","-0.89%"
"2013- 10- 02","431.37","440.00","440.69","431.15","4.62K","-1.22%"
"2013- 10- 01","436.68","436.88","443.11","432.50","5.14K","-0.09%"
"2013- 09- 30","437.08","440.32","440.32","433.96","6.62K","-1.26%"
"2013- 09- 27","442.66","447.33","447.38","441.79","4.80K","-0.88%"
"2013- 09- 26","446.59","444.84","447.41","443.54","3.75K","-0.14%"
"2013- 09- 25","447.21","448.96","449.50","443.30","4.22K","-0.19%"
"2013- 09- 24","448.06","453.08","453.08","443.89","6.44K","-1.38%"
"2013- 09- 23","454.32","456.99","459.09","452.63","6.32K","-0.09%"
"2013- 09- 17","454.73","450.15","456.56","446.89","5.62K","0.98%"
"2013- 09- 16","450.31","447.16","451.39","447.16","5.47K","1.70%"
"2013- 09- 13","442.78","443.69","448.04","442.58","5.56K","-0.88%"
"2013- 09- 12","446.70","448.97","451.81","444.77","7.89K","-0.36%"
"2013- 09- 11","448.33","443.18","449.10","441.99","6.99K","1.60%"
"2013- 09- 10","441.28","439.40","441.95","436.80","9.11K","0.73%"
"2013- 09- 09","438.08","430.18","438.08","430.18","5.65K","2.72%"
"2013- 09- 06","426.49","426.55","427.49","424.50","3.85K","0.19%"
"2013- 09- 05","425.70","427.74","427.87","422.75","5.06K","0.09%"
"2013- 09- 04","425.30","421.12","427.48","418.08","6.35K","1.17%"
"2013- 09- 03","420.38","412.84","421.14","412.50","5.99K","2.63%"
"2013- 09- 02","409.62","403.25","411.50","403.24","4.18K","1.45%"
"2013- 08- 30","403.75","401.66","404.92","399.95","4.67K","1.12%"
"2013- 08- 29","399.27","397.54","401.68","397.35","3.53K","1.18%"
"2013- 08- 28","394.62","392.06","397.13","390.90","3.81K","-0.88%"
"2013- 08- 27","398.14","389.99","402.75","389.22","6.46K","1.69%"
"2013- 08- 26","391.52","387.98","392.54","386.64","3.92K","1.49%"
"2013- 08- 23","385.78","384.40","387.57","383.91","5.66K","0.90%"
"2013- 08- 22","382.34","384.84","388.56","380.30","6.99K","-2.25%"
"2013- 08- 21","391.15","402.67","402.78","390.02","5.41K","-2.32%"
"2013- 08- 20","400.42","409.98","410.91","399.38","6.09K","-2.70%"
"2013- 08- 19","411.55","411.47","414.61","410.07","3.23K","0.11%"
"2013- 08- 16","411.11","404.59","412.77","404.31","5.13K","0.11%"
"2013- 08- 14","410.64","409.20","411.71","408.35","5.40K","0.71%"
"2013- 08- 13","407.74","409.72","411.73","407.15","4.59K","-0.01%"
"2013- 08- 12","407.77","401.74","408.00","400.71","3.81K","0.92%"
"2013- 08- 09","404.06","405.69","406.04","401.14","3.21K","-0.66%"
"2013- 08- 08","406.76","405.14","409.00","402.10","3.88K","1.03%"
"2013- 08- 07","402.62","404.48","408.11","402.62","3.01K","-1.30%"
"2013- 08- 06","407.93","408.10","408.62","403.44","4.19K","0.06%"
"2013- 08- 05","407.68","410.26","411.23","406.67","3.96K","-0.16%"
"2013- 08- 02","408.33","410.94","413.54","408.33","5.30K","0.11%"
"2013- 08- 01","407.88","401.08","407.88","399.28","4.82K","1.45%"
"2013- 07- 31","402.04","401.65","404.82","400.26","4.17K","0.12%"
"2013- 07- 30","401.54","398.51","401.62","396.33","4.28K","0.67%"
"2013- 07- 29","398.87","405.58","405.61","397.74","5.16K","-2.01%"
"2013- 07- 26","407.04","408.13","409.24","404.77","4.69K","0.28%"
"2013- 07- 25","405.92","405.27","409.79","404.95","5.28K","-0.63%"
"2013- 07- 24","408.48","400.34","409.02","398.76","4.42K","1.65%"
"2013- 07- 23","401.85","396.88","402.24","395.73","4.66K","1.53%"
"2013- 07- 22","395.80","382.70","397.34","382.70","6.71K","4.09%"
"2013- 07- 19","380.23","383.61","384.51","379.24","3.34K","-0.69%"
"2013- 07- 18","382.89","382.95","383.85","380.50","3.63K","-0.33%"
"2013- 07- 17","384.14","381.66","386.14","376.95","4.13K","0.42%"
"2013- 07- 16","382.54","386.34","388.12","381.34","2.62K","-0.94%"
"2013- 07- 15","386.17","384.51","387.11","378.60","2.98K","0.26%"
"2013- 07- 12","385.18","383.19","387.26","381.86","3.25K","0.25%"
"2013- 07- 11","384.23","372.85","384.23","372.80","4.53K","4.01%"
"2013- 07- 10","369.42","374.30","374.66","369.03","2.45K","-0.79%"
"2013- 07- 09","372.36","373.68","373.68","368.20","2.41K","0.39%"
"2013- 07- 08","370.92","374.88","376.69","368.96","2.89K","-1.16%"
"2013- 07- 05","375.28","378.10","380.50","373.56","2.64K","0.05%"
"2013- 07- 04","375.11","376.85","376.85","368.60","3.53K","0.09%"
"2013- 07- 03","374.76","387.42","388.88","374.19","4.26K","-3.60%"
"2013- 07- 02","388.74","386.77","389.44","382.40","3.35K","0.74%"
"2013- 07- 01","385.89","382.59","388.43","382.55","3.01K","0.25%"
"2013- 06- 28","384.92","378.11","385.74","378.11","4.92K","1.95%"
"2013- 06- 27","377.57","374.85","378.48","374.84","4.45K","1.70%"
"2013- 06- 26","371.26","374.54","374.54","366.75","4.29K","0.59%"
"2013- 06- 25","369.09","370.12","377.64","365.56","5.18K","-1.13%"
"2013- 06- 24","373.30","375.00","377.14","371.77","3.99K","-0.77%"
"2013- 06- 21","376.21","368.13","377.60","367.88","6.63K","-1.14%"
"2013- 06- 20","380.53","392.28","392.28","377.81","7.74K","-4.39%"
"2013- 06- 19","398.02","407.30","407.92","395.13","4.64K","-2.37%"
"2013- 06- 18","407.68","409.07","409.07","403.81","3.07K","0.00%"
"2013- 06- 17","407.66","410.75","412.43","406.39","3.56K","-1.01%"
"2013- 06- 14","411.84","413.08","414.52","410.23","3.00K","0.54%"
"2013- 06- 13","409.61","414.00","414.83","408.80","5.38K","-1.50%"
"2013- 06- 12","415.86","416.92","419.77","415.57","2.74K","-1.00%"
"2013- 06- 11","420.04","425.61","425.61","417.03","4.28K","-0.74%"
"2013- 06- 10","423.16","423.18","425.85","422.32","2.36K","0.55%"
"2013- 06- 07","420.86","427.12","429.32","420.66","3.98K","-0.45%"
"2013- 06- 05","422.75","427.76","428.54","422.05","3.10K","-1.79%"
"2013- 06- 04","430.47","436.36","436.74","426.84","3.65K","-0.83%"
