Date,Close,Open,High,Low,Volume
2018-03-12,877.09,862.18,880.03,857.59,19090000
2018-03-09,856.49,851.16,862.98,844.02,24110000
2018-03-08,849.32,847.09,851.76,837.02,22780000
2018-03-07,841.68,850.22,851.38,837.13,17780000
2018-03-06,853.45,861.48,866.5,852.24,14980000
2018-03-05,856.54,874.36,875.19,856.17,12810000
2018-03-02,872.65,880.24,880.59,864.66,17060000
2018-02-28,883.92,886.49,887.43,879.06,25230000
2018-02-27,888.65,898.31,903.94,888.08,13470000
2018-02-26,897.12,904.07,904.51,893.52,15230000
2018-02-23,903.7,893.71,904.13,887.06,14620000
2018-02-22,889.9,886.23,892.22,882.18,13200000
2018-02-21,892.39,889.68,894.79,879.16,13300000
2018-02-20,892.76,898.43,898.88,890.03,9240000
2018-02-19,901.62,895.49,903.78,894.52,14440000
2018-02-14,880.4,885.27,887.72,875.34,13570000
2018-02-13,881.85,887.73,893.77,880.74,18050000
2018-02-12,886.49,868.91,890.16,865.6,17030000
2018-02-09,861.45,862.54,871.59,856.86,21780000
2018-02-08,880.7,880.09,898.45,877.73,20500000
2018-02-07,887.18,913.78,914.09,886.99,20430000
2018-02-06,903.85,920.69,925.66,893.42,24430000
2018-02-05,937.68,928.73,943.12,925.27,18100000
2018-02-02,933.56,936.52,940.97,925.87,18300000
2018-02-01,935.95,940.25,942.5,930.32,14900000
2018-01-31,943.18,929.83,943.63,909.76,23250000
2018-01-30,935.87,938.6,948.36,932.79,20650000
2018-01-29,939.84,939.66,951.09,938.93,22540000
2018-01-26,933.02,929.45,933.82,923.2,16930000
2018-01-25,932.0,937.53,944.89,929.72,15050000
2018-01-24,939.84,949.77,949.77,938.6,16660000
2018-01-23,951.44,927.06,951.44,923.71,24540000
2018-01-22,922.72,943.64,946.96,919.92,17350000
2018-01-19,938.31,925.82,939.41,923.25,13800000
2018-01-18,920.68,928.18,934.99,916.86,18560000
2018-01-17,925.24,920.64,926.1,917.98,14550000
2018-01-16,922.84,936.23,937.14,918.79,17880000
2018-01-15,936.35,938.32,944.23,934.74,20680000
2018-01-12,932.3,930.48,938.41,927.42,23010000
2018-01-11,921.04,921.43,924.66,911.39,17390000
2018-01-10,915.62,917.72,925.95,913.58,15830000
2018-01-09,916.76,913.86,919.4,910.46,17720000
2018-01-08,908.44,887.6,909.22,887.38,21310000
2018-01-05,882.14,875.16,885.62,872.43,17710000
2018-01-04,871.18,881.25,881.54,870.33,13460000
2018-01-03,877.34,870.97,880.7,870.97,12450000
2018-01-02,875.75,879.91,879.97,868.14,9160000
2017-12-28,875.83,874.11,875.83,867.6,10340000
2017-12-27,873.51,873.92,874.39,862.43,14820000
2017-12-26,890.14,884.84,892.39,883.42,19330000
2017-12-22,879.71,882.48,888.17,878.96,15120000
2017-12-21,880.02,881.99,886.52,877.62,14320000
2017-12-20,883.9,873.55,884.49,869.42,10970000
2017-12-19,875.81,872.77,882.83,872.77,18270000
2017-12-18,875.26,878.44,881.22,871.22,27630000
2017-12-15,882.0,880.46,883.74,877.35,21300000
2017-12-14,873.41,867.88,888.62,866.48,33259999
2017-12-13,866.84,850.45,867.04,850.45,15940000
2017-12-12,847.57,853.82,853.82,845.88,12420000
2017-12-11,855.39,855.66,857.11,851.43,10060000
2017-12-08,854.44,853.46,857.62,849.14,10750000
2017-12-07,853.77,859.83,864.22,853.26,13440000
2017-12-06,860.51,862.45,865.22,859.5,13900000
2017-12-05,860.26,860.2,864.63,856.15,13770000
2017-12-04,858.39,848.93,858.39,847.83,11240000
2017-12-01,841.99,864.06,864.06,840.43,14980000
2017-11-30,861.29,870.58,872.04,860.41,24300000
2017-11-29,862.73,865.62,865.93,857.6,11270000
2017-11-28,860.12,855.4,867.31,854.85,15400000
2017-11-27,855.23,859.93,867.36,854.78,18540000
2017-11-24,855.9,854.23,856.56,850.99,13710000
2017-11-23,854.13,857.03,857.75,851.75,14940000
2017-11-22,855.31,848.44,859.51,847.56,30900000
2017-11-21,844.61,852.3,853.65,844.61,39980000
2017-11-20,852.97,858.04,860.48,850.63,13020000
2017-11-17,857.64,865.49,868.07,854.2,18570000
2017-11-16,865.22,859.06,867.17,857.55,16830000
2017-11-15,855.96,844.9,856.24,841.62,21040000
2017-11-14,846.94,846.83,849.59,844.07,13750000
2017-11-13,845.22,847.95,851.16,840.45,16020000
2017-11-10,849.17,847.89,851.37,844.3,11700000
