,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2019-09-10,1.7529051562996811,0.4573714524367871,-0.0382784684266843,-0.158894611767813,0.5505997968546765,0.5428177248288318,-0.0513630765947611,-1.2269098112733374,neutral,57.4,1190.86,15.2,0.0,0.79,2849712.7,1.5,99.794,107.56,105.63,93.4,98.1,3.5,61.0,0.4,0.9
2019-09-11,1.783231646804203,0.4687336483279372,-0.0380810450387846,0.2161639409001158,0.6911789119698254,0.6614705329190671,0.4618152093106113,-1.3089350382435303,neutral,55.75,1189.5,14.61,0.0,0.8,2849712.7,1.5,99.794,107.56,105.63,93.4,98.1,3.5,61.0,0.4,0.9
2019-09-16,1.8181620195719468,0.7440881370305051,-0.0371628695998227,0.6911694155702125,0.8030032080841485,0.9118279579894636,1.387152433502188,-1.4986183756121016,neutral,62.9,1178.72,14.67,0.0,0.82,2849712.7,1.5,99.794,107.56,105.63,93.4,98.1,3.5,61.0,0.4,0.9
2019-09-17,1.8782659137055608,0.4550136653315394,-0.0368212958017106,1.6782740679215202,0.7966132483061871,0.8916569806141234,0.8560792917328486,-1.4012134185849978,neutral,59.34,1183.29,14.44,0.0,0.83,2849712.7,1.5,99.794,107.56,105.63,93.4,98.1,3.5,61.0,0.4,0.9
2019-09-18,1.8262716103475287,0.0378858231881959,-0.0370907943947165,1.1702964127971005,0.7726508991388321,0.870299475157881,0.691562068467347,-1.349947651728627,neutral,58.11,1185.65,13.95,0.0,0.81,2849712.7,1.5,99.794,107.56,105.63,93.4,98.1,3.5,61.0,0.4,0.9
2019-09-19,1.7883001410389423,-0.190061454134275,-0.0372067414638004,0.7313542604989193,0.7934182684172065,0.8987761490995377,0.682903267242847,-1.3243147683004417,up,58.13,1189.55,14.05,0.0,0.81,2849712.7,1.5,99.794,107.56,105.63,93.4,98.1,3.5,61.0,0.4,0.9
2019-09-20,1.8155855350026209,0.4636408035925161,-0.0379525631514214,1.2279977285921655,0.825368067307013,0.9521699127401436,0.4433431000316777,-1.262795848072797,neutral,58.09,1193.86,15.32,0.0,0.82,2849712.7,1.5,99.794,107.56,105.63,93.4,98.1,3.5,61.0,0.4,0.9
2019-09-23,1.841096955984141,0.4001865050193904,-0.0369905158484818,1.7328842417989936,0.7998082281951677,1.0103097887043586,0.6990663628619139,-1.2730490014440714,up,58.64,1193.13,14.91,0.0,0.83,2849712.7,1.5,99.794,107.56,105.63,93.4,98.1,3.5,61.0,0.4,0.9
2019-09-24,1.808954255045504,0.0764075087113614,-0.0367366857783251,1.4041928178949572,0.7199337309706513,0.9094549018276588,0.6251779257461797,-1.144884584303145,up,57.29,1193.01,17.05,0.0,0.82,2849712.7,1.5,99.794,107.56,105.63,93.4,98.1,3.5,61.0,0.4,0.9
2019-09-25,1.7641403185200193,-0.5369966942494633,-0.0366270061183808,0.866334124233806,0.6400592337461348,0.8157191834363726,0.4491156341813441,-1.2166566579020637,up,56.49,1193.94,15.96,0.0,0.8,2849712.7,1.5,99.794,107.56,105.63,93.4,98.1,3.5,61.0,0.4,0.9
