,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2015-06-26,-0.6556553700878096,-0.031307520643169,1.1574620616591091,1.409239950025744,0.8465354211355047,0.6284206881465297,0.5990086029443632,-0.6946686172806584,down,59.63,1109.94,14.02,10.44,1.45,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-29,-0.6556707783107164,-0.0308314542266448,0.2737708632380051,0.9742340448655148,0.8382655878346357,0.5775570629839861,0.33933191111406,-0.6723763121952406,down,58.33,1120.9,18.85,10.4,1.44,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-06-30,-0.6556833828027192,-0.0307984695250331,-0.6729501558468032,0.5827287302213086,0.8495426332449113,0.5888600907978845,0.4770297210676588,-0.6429051292009594,down,59.47,1118.22,18.23,10.36,1.44,2178617.8,1.5,94.909,99.95,104.19,97.4,100.4,3.8,60.4,0.5,0.6
2015-07-01,-0.6556734221797706,-0.0308412210311264,-1.509912181077831,0.9731465301026144,0.8598172746187183,0.6227691742395804,0.6015236314366663,-0.6379932653685794,down,56.96,1117.56,16.09,10.52,1.46,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-02,-0.6556810955485607,-0.0314891562717832,0.9337590296697518,0.7425934003676926,0.8229789262784839,0.6555479548998863,0.7341913844056589,-0.6372375940097517,down,56.93,1122.93,16.79,10.5,1.46,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-06,-0.6556974137543047,-0.0318437358943846,0.3291213544828897,0.2314614618044238,0.764588891154167,0.5447782823236802,0.3248704972833165,-0.6731319835540683,down,52.53,1120.95,17.01,10.05,1.4,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-07,-0.6556860020776427,-0.0309641847961641,-0.1868596284636663,0.611004114056724,0.8214753202237807,0.5832085768909355,0.7492815553594776,-0.6803108614629317,down,52.33,1124.23,16.09,10.15,1.41,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-08,-0.6556963439096176,-0.0317734524923638,2.73754189675548,0.3054124656816627,0.8445306130625666,0.665720679932395,0.6889208715442018,-0.641771622162718,down,51.65,1132.93,19.66,10.1,1.4,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-09,-0.6556862849101461,-0.0306733428408729,-2.477669645501718,0.6349294388405364,0.8918942037857251,0.7550145996621943,0.67571697195961,-0.6202349884361279,down,52.78,1134.44,19.97,10.23,1.42,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
2015-07-10,-0.6556958028387414,-0.0310409643552076,-1.1737329741355438,0.3684883219298958,0.921966324879794,0.909866080712605,1.3359119511891937,-0.6345927442538546,down,52.74,1131.03,16.83,10.2,1.42,2197381.9,1.5,95.08,105.23,103.97,97.0,100.4,3.7,60.5,1.5,0.3
