,OBV,ADI,EOM,MFI,MACD,ADX,RSI,ATR,레이블,WTI,환율,VIX,PER,PBR,통화량,기준금리,소비자물가지수,수입금액지수,수출금액지수,경제심리지수,경기종합지수,실업률,고용률,한국경제성장률,미국경제성장률
2018-07-20,-1.6774576186247658,0.6449104914443269,0.0216829323342957,0.3463231511793565,0.4891912585392258,-0.0705699881394116,-0.246510005793037,-0.2651248562290672,down,70.46,1134.48,12.86,14.21,0.98,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-07-23,-1.589066771086614,0.1663483025386514,0.0224484506116392,0.7816162807751935,0.6106029272143154,0.0864270164429312,0.1263335992088108,-0.3265700951320617,down,67.89,1127.16,12.62,14.35,0.99,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-07-24,-1.499609546031246,1.5465209227958998,0.0235520567259958,1.2636932514023582,0.6613191938760619,0.177136396868285,0.8840093495662633,-0.4168177897708347,down,68.52,1132.45,12.41,14.54,1.0,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-07-25,-1.582668505983316,-0.4898991094050318,0.0243207887660485,0.9880754053264894,0.5829395090351811,0.1876028638404412,0.8162740965675357,-0.4206581172022718,down,69.3,1127.98,12.29,14.42,0.99,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-07-26,-1.6582628233148722,-1.4174665483838238,0.0268506627707705,0.7205938794299827,0.5522023777250319,0.2224910870809614,0.6046763593237215,-0.4936243383995782,down,69.61,1115.75,12.14,14.27,0.98,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-07-27,-1.7551846909907545,1.320497315797056,0.0217793452155733,0.3544594713587178,0.6113713554970693,0.2620310734202181,0.6478351045972474,-0.6318761259313156,down,68.69,1123.15,13.03,14.25,0.98,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-07-30,-1.670348435176657,0.3072972122443131,0.0224960142997361,0.7744970006182522,0.6889826120551964,0.4795009982861301,0.9259692408044136,-0.7048423471286217,down,70.13,1114.6,14.26,14.31,0.99,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-07-31,-1.609209457522922,0.2832483953460742,0.0230423539603087,1.093847567658188,0.735856737303174,0.5597439117393277,1.089013389615511,-0.6721995639614059,down,68.76,1116.67,12.83,14.38,0.99,2633548.9,1.5,98.59,123.92,122.41,97.7,100.2,3.8,60.5,0.6,0.7
2018-08-01,-1.544160428972727,0.0225982096707776,0.0237879469088548,1.447777495460411,0.7389304504341888,0.520203925400071,1.4025137198662612,-0.5685107233126029,down,67.66,1112.2,13.15,14.42,0.99,2646778.2,1.5,99.462,122.72,123.79,97.2,99.8,4.6,60.4,0.6,0.7
2018-08-02,-1.6233093380283377,-1.1353372831500024,0.0236221167530575,1.2108071702365093,0.7005090362965022,0.4399610119468734,0.5333445442188666,-0.5512292498711358,down,68.96,1118.6,12.19,14.32,0.99,2646778.2,1.5,99.462,122.72,123.79,97.2,99.8,4.6,60.4,0.6,0.7
