"날짜","종가","시가","고가","저가","거래량","변동 %"
"2015- 10- 28","1,492.32","1,489.26","1,495.12","1,481.02","7.24K","0.43%"
"2015- 10- 27","1,485.98","1,489.33","1,495.36","1,479.71","4.77K","-0.45%"
"2015- 10- 26","1,492.76","1,480.38","1,492.76","1,476.99","5.64K","1.24%"
"2015- 10- 23","1,474.46","1,473.24","1,492.09","1,470.36","5.71K","0.80%"
"2015- 10- 22","1,462.79","1,474.48","1,475.56","1,458.93","6.66K","-1.28%"
"2015- 10- 21","1,481.77","1,489.24","1,490.02","1,480.76","5.71K","-0.25%"
"2015- 10- 20","1,485.50","1,480.65","1,486.74","1,473.25","5.06K","0.04%"
"2015- 10- 19","1,484.96","1,482.74","1,484.96","1,470.33","3.91K","0.16%"
"2015- 10- 16","1,482.66","1,476.89","1,487.77","1,472.62","5.01K","0.82%"
"2015- 10- 15","1,470.67","1,459.06","1,473.41","1,456.20","5.87K","0.74%"
"2015- 10- 14","1,459.86","1,453.90","1,469.00","1,449.32","6.83K","0.36%"
"2015- 10- 13","1,454.60","1,456.23","1,458.09","1,442.89","7.09K","-0.42%"
"2015- 10- 12","1,460.79","1,468.53","1,472.97","1,452.19","7.21K","-0.82%"
"2015- 10- 08","1,472.89","1,477.38","1,478.88","1,451.50","7.67K","0.07%"
"2015- 10- 07","1,471.85","1,497.98","1,501.57","1,471.09","6.11K","-2.49%"
"2015- 10- 06","1,509.46","1,508.74","1,513.34","1,502.61","5.87K","0.89%"
"2015- 10- 05","1,496.19","1,493.49","1,511.35","1,489.19","6.57K","0.79%"
"2015- 10- 02","1,484.43","1,486.45","1,502.54","1,484.17","8.90K","-0.01%"
"2015- 10- 01","1,484.59","1,479.21","1,491.02","1,474.90","6.10K","0.01%"
"2015- 09- 30","1,484.42","1,443.33","1,485.53","1,442.39","9.70K","2.14%"
"2015- 09- 25","1,453.28","1,464.95","1,466.91","1,449.03","6.03K","-0.86%"
"2015- 09- 24","1,465.85","1,462.66","1,468.77","1,454.68","5.86K","0.84%"
"2015- 09- 23","1,453.63","1,461.38","1,471.14","1,450.07","6.16K","-1.75%"
"2015- 09- 22","1,479.47","1,460.35","1,481.21","1,452.86","7.99K","2.06%"
"2015- 09- 21","1,449.63","1,453.08","1,456.75","1,439.37","5.25K","-0.82%"
"2015- 09- 18","1,461.65","1,445.83","1,470.69","1,444.57","10.43K","1.75%"
"2015- 09- 17","1,436.56","1,455.90","1,455.90","1,433.82","8.69K","-0.62%"
"2015- 09- 16","1,445.57","1,448.49","1,453.90","1,442.14","7.29K","0.32%"
"2015- 09- 15","1,440.90","1,432.99","1,440.90","1,428.87","5.57K","0.68%"
"2015- 09- 14","1,431.11","1,443.98","1,451.63","1,422.61","6.61K","-0.82%"
"2015- 09- 11","1,442.87","1,443.46","1,449.64","1,436.75","7.74K","-1.35%"
"2015- 09- 10","1,462.63","1,420.16","1,462.63","1,416.46","11.74K","2.16%"
"2015- 09- 09","1,431.74","1,404.51","1,432.08","1,404.13","8.67K","3.38%"
"2015- 09- 08","1,384.91","1,396.51","1,398.78","1,364.00","7.66K","-0.81%"
"2015- 09- 07","1,396.19","1,391.17","1,405.70","1,381.85","6.69K","0.24%"
"2015- 09- 04","1,392.81","1,421.45","1,422.32","1,384.27","7.97K","-2.15%"
"2015- 09- 03","1,423.36","1,444.70","1,448.92","1,416.88","8.46K","-0.86%"
"2015- 09- 02","1,435.71","1,414.54","1,441.47","1,414.34","12.46K","0.06%"
"2015- 09- 01","1,434.82","1,452.59","1,464.30","1,432.25","10.94K","-1.77%"
"2015- 08- 31","1,460.68","1,466.08","1,469.55","1,457.82","9.87K","-0.39%"
"2015- 08- 28","1,466.33","1,472.75","1,474.15","1,457.18","9.48K","-0.01%"
"2015- 08- 27","1,466.54","1,448.53","1,476.56","1,439.60","12.82K","2.03%"
"2015- 08- 26","1,437.41","1,390.13","1,442.42","1,383.59","10.93K","3.42%"
"2015- 08- 25","1,389.92","1,403.09","1,403.42","1,367.22","12.63K","-0.88%"
"2015- 08- 24","1,402.28","1,438.82","1,438.82","1,383.94","10.66K","-2.91%"
"2015- 08- 21","1,444.28","1,430.43","1,452.31","1,425.69","11.16K","-1.24%"
"2015- 08- 20","1,462.46","1,453.72","1,467.78","1,444.54","9.68K","-0.03%"
"2015- 08- 19","1,462.92","1,464.42","1,472.46","1,437.57","14.75K","-0.56%"
"2015- 08- 18","1,471.11","1,503.94","1,505.90","1,470.00","8.96K","-1.88%"
"2015- 08- 17","1,499.24","1,501.01","1,504.01","1,484.47","7.90K","0.38%"
"2015- 08- 13","1,493.52","1,498.38","1,512.38","1,482.57","11.26K","-0.50%"
"2015- 08- 12","1,500.96","1,518.45","1,521.06","1,467.87","12.20K","-1.57%"
"2015- 08- 11","1,524.96","1,566.07","1,567.18","1,518.30","10.59K","-1.99%"
"2015- 08- 10","1,555.94","1,540.21","1,558.89","1,537.05","10.57K","0.99%"
"2015- 08- 07","1,540.65","1,523.38","1,546.94","1,522.22","8.51K","0.82%"
"2015- 08- 06","1,528.07","1,546.29","1,553.49","1,519.13","11.10K","-0.44%"
"2015- 08- 05","1,534.88","1,517.00","1,540.16","1,516.51","12.35K","0.53%"
"2015- 08- 04","1,526.74","1,531.96","1,534.13","1,510.60","7.91K","-0.43%"
"2015- 08- 03","1,533.29","1,529.02","1,535.77","1,519.03","10.94K","0.92%"
"2015- 07- 31","1,519.36","1,497.18","1,519.36","1,488.94","14.78K","2.25%"
"2015- 07- 30","1,485.94","1,505.07","1,507.45","1,480.43","9.98K","-0.80%"
"2015- 07- 29","1,497.91","1,491.68","1,502.10","1,481.77","7.33K","0.41%"
"2015- 07- 28","1,491.83","1,473.49","1,499.85","1,457.10","8.43K","1.30%"
"2015- 07- 27","1,472.63","1,470.17","1,487.09","1,463.37","6.92K","0.15%"
"2015- 07- 24","1,470.41","1,487.86","1,492.60","1,465.59","6.12K","-1.08%"
"2015- 07- 23","1,486.47","1,470.06","1,490.94","1,462.64","5.52K","1.43%"
"2015- 07- 22","1,465.53","1,472.88","1,474.74","1,462.12","8.62K","-1.18%"
"2015- 07- 21","1,483.08","1,493.46","1,496.29","1,470.72","6.67K","-0.55%"
"2015- 07- 20","1,491.28","1,474.79","1,491.97","1,471.74","5.39K","1.09%"
"2015- 07- 17","1,475.20","1,474.45","1,477.51","1,463.45","5.98K","0.22%"
"2015- 07- 16","1,471.98","1,486.39","1,488.72","1,467.21","6.35K","-1.04%"
"2015- 07- 15","1,487.49","1,479.66","1,488.45","1,477.85","7.87K","0.59%"
"2015- 07- 14","1,478.82","1,469.32","1,483.12","1,464.40","7.83K","0.88%"
"2015- 07- 13","1,465.95","1,435.50","1,466.09","1,435.50","7.54K","1.97%"
"2015- 07- 10","1,437.68","1,442.99","1,448.54","1,431.83","30.20K","0.18%"
"2015- 07- 09","1,435.08","1,402.89","1,436.35","1,392.83","39.33K","1.48%"
"2015- 07- 08","1,414.11","1,432.14","1,437.18","1,399.52","54.22K","-0.73%"
"2015- 07- 07","1,424.50","1,477.38","1,478.25","1,403.55","84.52K","-2.75%"
"2015- 07- 06","1,464.71","1,474.61","1,495.01","1,464.71","93.19K","-1.76%"
"2015- 07- 03","1,491.00","1,484.20","1,492.93","1,475.13","41.56K","0.84%"
"2015- 07- 02","1,478.52","1,470.71","1,488.59","1,468.10","19.03K","1.26%"
"2015- 07- 01","1,460.10","1,448.25","1,462.47","1,446.23","14.57K","0.86%"
"2015- 06- 30","1,447.61","1,435.16","1,448.52","1,428.74","15.61K","0.71%"
"2015- 06- 29","1,437.47","1,426.46","1,446.73","1,421.96","20.75K","-0.70%"
"2015- 06- 26","1,447.63","1,445.32","1,450.50","1,436.62","19.82K","0.01%"
"2015- 06- 25","1,447.48","1,429.64","1,451.86","1,424.46","20.22K","1.13%"
"2015- 06- 24","1,431.26","1,423.90","1,432.07","1,421.39","13.41K","1.07%"
"2015- 06- 23","1,416.11","1,407.15","1,420.05","1,405.00","11.52K","0.64%"
"2015- 06- 22","1,407.14","1,426.57","1,427.55","1,404.59","10.72K","-0.37%"
"2015- 06- 19","1,412.32","1,422.65","1,423.13","1,409.60","12.20K","-0.09%"
"2015- 06- 18","1,413.58","1,400.29","1,417.38","1,395.20","13.28K","1.74%"
"2015- 06- 17","1,389.37","1,400.14","1,400.49","1,383.51","10.88K","-0.33%"
"2015- 06- 16","1,393.94","1,385.05","1,400.77","1,369.40","15.25K","0.72%"
"2015- 06- 15","1,383.96","1,382.37","1,389.24","1,369.06","11.30K","-0.14%"
"2015- 06- 12","1,385.85","1,390.11","1,404.37","1,385.57","14.06K","0.05%"
"2015- 06- 11","1,385.10","1,388.31","1,389.87","1,373.76","11.91K","0.02%"
