"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 10- 31","1,390.84","1,408.13","1,408.29","1,373.02","8.80M","-0.47%"
"2022- 10- 28","1,397.37","1,366.05","1,403.44","1,365.40","8.37M","2.33%"
"2022- 10- 27","1,365.51","1,344.57","1,367.46","1,344.57","7.58M","1.83%"
"2022- 10- 26","1,340.98","1,357.43","1,358.01","1,336.60","9.30M","-0.98%"
"2022- 10- 25","1,354.32","1,356.29","1,356.57","1,340.09","8.74M","0.32%"
"2022- 10- 24","1,350.01","1,396.07","1,398.85","1,344.28","10.17M","-2.36%"
"2022- 10- 21","1,382.58","1,388.70","1,390.67","1,375.35","7.26M","-0.75%"
"2022- 10- 20","1,393.03","1,394.55","1,399.24","1,380.08","8.52M","-0.37%"
"2022- 10- 19","1,398.26","1,394.36","1,424.64","1,393.86","10.15M","-0.04%"
"2022- 10- 18","1,398.78","1,396.78","1,402.92","1,373.26","9.31M","2.21%"
"2022- 10- 17","1,368.56","1,357.02","1,374.53","1,342.99","6.16M","-0.14%"
"2022- 10- 14","1,370.43","1,369.61","1,381.45","1,358.99","7.51M","1.43%"
"2022- 10- 13","1,351.16","1,371.00","1,373.48","1,351.16","8.40M","-1.22%"
"2022- 10- 12","1,367.81","1,362.73","1,375.79","1,347.99","8.46M","-0.12%"
"2022- 10- 11","1,369.42","1,389.56","1,394.42","1,360.70","11.22M","-3.73%"
"2022- 10- 07","1,422.43","1,415.04","1,425.35","1,407.78","8.11M","-0.38%"
"2022- 10- 06","1,427.82","1,433.19","1,435.13","1,419.92","8.02M","0.56%"
"2022- 10- 05","1,419.80","1,462.92","1,466.62","1,397.88","10.67M","-0.94%"
"2022- 10- 04","1,433.22","1,423.66","1,440.26","1,415.73","8.93M","1.94%"
"2022- 09- 30","1,405.99","1,451.58","1,457.16","1,400.35","11.77M","-3.00%"
