"날짜","종가","시가","고가","저가","거래량","변동 %"
"2015- 04- 15","988.02","991.40","995.42","985.70","2.56K","-0.69%"
"2015- 04- 14","994.84","991.30","995.81","982.27","2.70K","0.57%"
"2015- 04- 13","989.24","992.28","996.03","987.55","3.47K","0.10%"
"2015- 04- 10","988.21","979.58","990.75","979.46","2.56K","0.54%"
"2015- 04- 09","982.88","994.83","996.06","976.61","3.52K","-0.73%"
"2015- 04- 08","990.11","967.48","992.54","966.28","3.91K","2.38%"
"2015- 04- 07","967.05","961.70","976.09","960.38","2.48K","0.94%"
"2015- 04- 06","958.09","959.73","960.37","951.73","2.10K","-0.27%"
"2015- 04- 03","960.69","956.40","960.85","952.27","1.77K","0.73%"
"2015- 04- 02","953.70","947.26","954.68","943.39","2.17K","0.56%"
"2015- 04- 01","948.35","944.97","952.34","936.65","1.96K","-0.05%"
"2015- 03- 31","948.79","953.49","953.49","941.89","2.89K","-0.54%"
"2015- 03- 30","953.91","962.42","963.10","948.61","3.38K","-1.10%"
"2015- 03- 27","964.49","967.39","972.07","957.87","4.09K","0.49%"
"2015- 03- 26","959.80","962.29","963.39","953.75","3.73K","0.25%"
"2015- 03- 25","957.42","956.60","960.03","953.74","3.88K","0.13%"
"2015- 03- 24","956.14","944.92","957.93","943.01","3.41K","1.38%"
"2015- 03- 23","943.11","938.31","947.49","935.96","2.27K","0.99%"
"2015- 03- 20","933.83","940.99","942.14","928.99","2.44K","-0.66%"
"2015- 03- 19","940.08","943.15","948.63","937.08","2.33K","0.50%"
"2015- 03- 18","935.44","938.77","941.36","930.54","2.40K","-0.19%"
"2015- 03- 17","937.25","926.34","937.73","921.15","2.59K","1.92%"
"2015- 03- 16","919.55","921.55","925.10","917.80","2.00K","-0.95%"
"2015- 03- 13","928.34","919.99","930.68","919.58","1.40K","1.98%"
"2015- 03- 12","910.36","922.67","923.64","910.36","2.65K","-1.47%"
"2015- 03- 11","923.93","925.96","928.09","918.13","2.63K","-0.61%"
"2015- 03- 10","929.58","932.83","934.68","924.67","2.07K","0.08%"
"2015- 03- 09","928.87","939.79","942.33","927.84","2.13K","-1.66%"
"2015- 03- 06","944.53","953.71","953.84","942.78","2.24K","-0.77%"
"2015- 03- 05","951.89","946.87","953.05","942.19","2.05K","0.35%"
"2015- 03- 04","948.53","950.71","957.82","946.04","2.37K","-0.56%"
"2015- 03- 03","953.88","945.85","957.56","943.03","3.79K","1.04%"
"2015- 03- 02","944.09","936.87","948.63","933.22","3.23K","1.24%"
"2015- 02- 27","932.57","946.31","946.31","932.35","2.71K","-1.44%"
"2015- 02- 26","946.22","939.59","947.50","934.31","3.36K","0.87%"
"2015- 02- 25","938.04","932.94","940.79","930.17","3.13K","1.32%"
"2015- 02- 24","925.79","923.56","928.52","921.99","1.50K","-0.13%"
"2015- 02- 23","926.96","923.30","927.49","920.85","1.44K","0.37%"
"2015- 02- 17","923.55","922.17","923.55","917.31","1.42K","0.29%"
"2015- 02- 16","920.92","924.72","930.20","918.86","1.45K","-0.09%"
"2015- 02- 13","921.79","923.63","924.65","917.30","1.52K","0.49%"
"2015- 02- 12","917.27","917.92","919.26","909.34","1.70K","-0.21%"
"2015- 02- 11","919.21","917.40","919.59","906.02","1.79K","0.76%"
"2015- 02- 10","912.30","912.92","918.11","906.34","1.97K","-0.12%"
"2015- 02- 09","913.37","925.61","928.54","909.57","2.35K","-1.60%"
"2015- 02- 06","928.20","933.22","936.12","925.53","1.93K","-0.28%"
"2015- 02- 05","930.80","933.77","934.20","924.46","2.55K","-0.12%"
