"날짜","종가","시가","고가","저가","거래량","변동 %"
"2022- 10- 07","1,485.56","1,456.74","1,492.65","1,452.42","8.78M","0.89%"
"2022- 10- 06","1,472.42","1,461.92","1,477.89","1,451.72","6.85M","1.25%"
"2022- 10- 05","1,454.19","1,470.26","1,477.14","1,443.88","7.59M","0.64%"
"2022- 10- 04","1,444.93","1,411.38","1,449.19","1,403.78","6.84M","4.39%"
"2022- 09- 30","1,384.19","1,398.21","1,414.27","1,379.53","7.92M","-1.39%"
"2022- 09- 29","1,403.68","1,427.98","1,443.59","1,402.58","8.68M","0.11%"
"2022- 09- 28","1,402.18","1,439.70","1,447.24","1,393.38","10.32M","-3.52%"
"2022- 09- 27","1,453.35","1,459.95","1,466.61","1,430.62","8.92M","-0.61%"
"2022- 09- 26","1,462.21","1,510.52","1,511.77","1,458.31","11.75M","-5.14%"
"2022- 09- 23","1,541.50","1,595.44","1,595.44","1,532.80","8.45M","-3.65%"
"2022- 09- 22","1,599.90","1,577.92","1,600.92","1,569.19","7.88M","-0.04%"
"2022- 09- 21","1,600.51","1,608.01","1,613.29","1,593.43","7.61M","-0.98%"
"2022- 09- 20","1,616.38","1,629.70","1,636.55","1,607.12","5.91M","0.26%"
"2022- 09- 19","1,612.15","1,638.11","1,641.71","1,608.01","7.51M","-1.23%"
"2022- 09- 16","1,632.15","1,664.87","1,665.93","1,626.79","10.77M","-3.09%"
"2022- 09- 15","1,684.12","1,677.95","1,697.72","1,675.02","11.18M","0.55%"
"2022- 09- 14","1,674.90","1,660.55","1,682.00","1,654.02","7.76M","-1.50%"
"2022- 09- 13","1,700.44","1,691.26","1,702.81","1,676.52","10.67M","1.96%"
"2022- 09- 08","1,667.80","1,654.33","1,667.80","1,644.73","11.96M","1.60%"
"2022- 09- 07","1,641.59","1,651.24","1,656.94","1,630.58","8.72M","-1.20%"
"2022- 09- 06","1,661.58","1,653.11","1,670.12","1,649.38","8.86M","1.16%"
"2022- 09- 05","1,642.59","1,642.16","1,656.32","1,632.10","6.03M","0.43%"
"2022- 09- 02","1,635.63","1,651.91","1,654.63","1,630.18","7.37M","-0.41%"
"2022- 09- 01","1,642.41","1,672.28","1,676.29","1,642.41","9.75M","-3.02%"
"2022- 08- 31","1,693.55","1,671.12","1,697.32","1,653.57","9.85M","0.70%"
"2022- 08- 30","1,681.76","1,690.71","1,695.05","1,664.78","7.95M","0.49%"
"2022- 08- 29","1,673.64","1,672.91","1,682.48","1,662.09","9.89M","-2.22%"
"2022- 08- 26","1,711.62","1,714.30","1,726.78","1,708.90","9.78M","0.25%"
"2022- 08- 25","1,707.39","1,714.74","1,716.10","1,698.47","9.37M","0.32%"
"2022- 08- 24","1,701.96","1,690.98","1,707.46","1,676.54","11.81M","1.37%"
"2022- 08- 23","1,679.02","1,686.61","1,697.51","1,674.70","11.62M","-0.78%"
"2022- 08- 22","1,692.29","1,678.55","1,707.34","1,673.37","9.33M","-0.40%"
"2022- 08- 19","1,699.01","1,729.87","1,734.40","1,699.00","7.52M","-1.50%"
"2022- 08- 18","1,724.84","1,721.08","1,733.21","1,714.46","6.98M","-0.43%"
"2022- 08- 17","1,732.26","1,734.33","1,755.42","1,724.80","8.19M","0.26%"
"2022- 08- 16","1,727.77","1,733.27","1,748.04","1,722.56","12.69M","0.50%"
"2022- 08- 12","1,719.19","1,705.20","1,721.87","1,699.21","7.98M","0.78%"
"2022- 08- 11","1,705.92","1,687.80","1,712.81","1,685.49","13.43M","2.43%"
"2022- 08- 10","1,665.44","1,680.40","1,692.86","1,663.93","10.60M","-0.70%"
"2022- 08- 09","1,677.24","1,676.26","1,688.20","1,660.99","11.02M","0.58%"
"2022- 08- 08","1,667.64","1,638.86","1,667.64","1,637.22","14.14M","1.35%"
"2022- 08- 05","1,645.37","1,616.31","1,651.67","1,615.61","22.90M","2.24%"
"2022- 08- 04","1,609.34","1,634.30","1,634.37","1,604.47","7.95M","-1.09%"
"2022- 08- 03","1,627.05","1,616.79","1,627.05","1,602.80","7.20M","0.69%"
"2022- 08- 02","1,615.97","1,634.75","1,634.75","1,607.34","7.19M","-1.30%"
"2022- 08- 01","1,637.25","1,628.36","1,657.08","1,626.39","10.05M","0.66%"
"2022- 07- 29","1,626.47","1,614.95","1,629.39","1,608.56","18.97M","1.71%"
"2022- 07- 28","1,599.15","1,571.53","1,599.56","1,553.76","17.90M","3.01%"
"2022- 07- 27","1,552.49","1,565.32","1,567.07","1,539.22","4.44M","0.04%"
"2022- 07- 26","1,551.89","1,531.01","1,557.10","1,526.50","4.56M","1.02%"
"2022- 07- 25","1,536.26","1,523.34","1,543.27","1,517.25","6.05M","0.50%"
"2022- 07- 22","1,528.68","1,537.44","1,556.43","1,526.15","5.65M","-1.22%"
"2022- 07- 21","1,547.55","1,519.47","1,550.44","1,518.86","4.94M","1.77%"
"2022- 07- 20","1,520.64","1,528.16","1,532.73","1,510.63","6.13M","1.60%"
"2022- 07- 19","1,496.76","1,487.87","1,498.78","1,486.52","4.83M","0.94%"
"2022- 07- 18","1,482.85","1,469.87","1,484.86","1,456.69","6.19M","1.62%"
"2022- 07- 15","1,459.28","1,488.50","1,488.50","1,437.12","6.41M","-1.70%"
"2022- 07- 14","1,484.47","1,465.48","1,494.53","1,459.24","6.56M","0.89%"
"2022- 07- 13","1,471.31","1,460.28","1,474.56","1,441.52","6.79M","0.60%"
"2022- 07- 12","1,462.55","1,483.93","1,489.57","1,452.63","8.24M","-2.12%"
"2022- 07- 11","1,494.16","1,524.90","1,525.81","1,487.01","6.09M","-1.99%"
"2022- 07- 08","1,524.45","1,543.97","1,556.01","1,524.45","6.60M","0.86%"
"2022- 07- 07","1,511.52","1,502.34","1,519.42","1,492.61","6.94M","1.81%"
"2022- 07- 06","1,484.66","1,539.05","1,546.08","1,480.60","16.66M","-4.74%"
"2022- 07- 05","1,558.61","1,535.79","1,565.37","1,524.63","7.56M","2.52%"
"2022- 07- 04","1,520.28","1,550.46","1,553.98","1,499.04","7.93M","-1.59%"
"2022- 07- 01","1,544.80","1,585.60","1,597.64","1,535.17","8.53M","-2.13%"
"2022- 06- 30","1,578.38","1,628.68","1,628.71","1,578.38","8.55M","-3.02%"
"2022- 06- 29","1,627.60","1,648.89","1,659.52","1,620.35","7.24M","-2.55%"
"2022- 06- 28","1,670.21","1,647.09","1,673.09","1,639.04","6.65M","2.22%"
"2022- 06- 27","1,633.96","1,629.50","1,643.88","1,610.21","6.41M","0.90%"
"2022- 06- 24","1,619.40","1,612.72","1,630.01","1,586.09","6.84M","1.28%"
"2022- 06- 23","1,598.88","1,637.82","1,649.97","1,598.00","9.45M","-2.10%"
"2022- 06- 22","1,633.25","1,713.35","1,714.67","1,633.25","8.00M","-4.02%"
"2022- 06- 21","1,701.65","1,714.65","1,727.01","1,694.25","6.23M","-0.04%"
"2022- 06- 20","1,702.38","1,743.29","1,746.80","1,687.87","7.35M","-1.85%"
"2022- 06- 17","1,734.43","1,704.13","1,748.59","1,682.14","9.12M","0.47%"
"2022- 06- 16","1,726.30","1,749.10","1,761.35","1,722.17","7.17M","0.42%"
"2022- 06- 15","1,719.01","1,763.29","1,767.61","1,708.95","7.12M","-2.39%"
